,Date,Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day,labels
76,20171204,4,2.8,89,1.5,130,1.1,0.0,0.0,0.0,4,0,1,1
77,20171204,5,2.0,83,2.7,253,-0.5,0.0,0.0,0.0,4,0,1,1
78,20171204,6,1.2,76,3.7,371,-2.5,0.0,0.1,0.0,4,0,1,1
79,20171204,7,0.2,68,3.4,702,-5.0,0.0,0.0,0.0,4,0,1,1
80,20171204,8,-0.8,69,3.5,954,-5.7,0.01,0.0,0.0,4,0,1,2
81,20171204,9,-1.5,47,4.2,1888,-11.3,0.22,0.0,0.0,4,0,1,1
82,20171204,10,-1.1,40,4.5,2000,-13.0,0.64,0.0,0.0,4,0,1,1
83,20171204,11,-0.5,41,4.1,1799,-12.1,0.94,0.0,0.0,4,0,1,1
84,20171204,12,-0.3,38,4.8,1823,-12.9,1.11,0.0,0.0,4,0,1,1
85,20171204,13,0.0,30,5.4,1938,-15.5,1.17,0.0,0.0,4,0,1,1
86,20171204,14,0.1,27,4.5,2000,-16.7,1.09,0.0,0.0,4,0,1,1
87,20171204,15,-0.1,25,5.8,2000,-17.8,0.88,0.0,0.0,4,0,1,1
88,20171204,16,-0.2,23,4.7,2000,-18.8,0.55,0.0,0.0,4,0,1,1
89,20171204,17,-1.3,26,5.3,2000,-18.3,0.18,0.0,0.0,4,0,1,1
90,20171204,18,-2.1,29,3.9,2000,-17.7,0.0,0.0,0.0,4,0,1,2
91,20171204,19,-2.9,32,3.2,2000,-17.3,0.0,0.0,0.0,4,0,1,1
92,20171204,20,-3.6,38,3.0,2000,-15.8,0.0,0.0,0.0,4,0,1,1
93,20171204,21,-4.6,43,4.5,2000,-15.3,0.0,0.0,0.0,4,0,1,1
94,20171204,22,-5.3,45,2.5,2000,-15.3,0.0,0.0,0.0,4,0,1,1
95,20171204,23,-5.8,44,2.4,2000,-16.1,0.0,0.0,0.0,4,0,1,1
96,20171205,0,-6.1,42,2.6,2000,-16.9,0.0,0.0,0.0,4,0,1,1
97,20171205,1,-6.5,41,2.8,2000,-17.6,0.0,0.0,0.0,4,0,1,1
98,20171205,2,-6.8,41,2.5,2000,-17.8,0.0,0.0,0.0,4,0,1,1
99,20171205,3,-6.9,39,2.0,2000,-18.5,0.0,0.0,0.0,4,0,1,1
100,20171205,4,-7.2,34,3.0,2000,-20.4,0.0,0.0,0.0,4,0,1,1
101,20171205,5,-7.4,33,2.6,2000,-20.9,0.0,0.0,0.0,4,0,1,1
102,20171205,6,-7.4,34,3.2,2000,-20.6,0.0,0.0,0.0,4,0,1,1
103,20171205,7,-7.5,33,2.2,2000,-21.0,0.0,0.0,0.0,4,0,1,1
104,20171205,8,-8.1,36,1.6,2000,-20.5,0.01,0.0,0.0,4,0,1,2
105,20171205,9,-7.6,31,1.3,1974,-21.8,0.21,0.0,0.0,4,0,1,1
106,20171205,10,-5.5,26,2.8,1967,-22.0,0.64,0.0,0.0,4,0,1,1
107,20171205,11,-3.9,25,0.0,1959,-21.0,0.0,0.0,0.0,4,0,1,1
108,20171205,12,-2.3,25,0.0,1962,-19.7,0.0,0.0,0.0,4,0,1,1
109,20171205,13,-1.6,27,0.0,1955,-18.2,0.0,0.0,0.0,4,0,1,1
110,20171205,14,-1.1,28,0.0,2000,-17.3,0.0,0.0,0.0,4,0,1,1
111,20171205,15,-0.7,28,0.0,2000,-16.9,0.0,0.0,0.0,4,0,1,1
112,20171205,16,-0.5,30,0.0,2000,-16.0,0.0,0.0,0.0,4,0,1,1
113,20171205,17,-1.6,35,0.0,2000,-15.1,0.0,0.0,0.0,4,0,1,1
114,20171205,18,-2.6,40,0.0,2000,-14.4,0.0,0.0,0.0,4,0,1,2
115,20171205,19,-3.2,45,0.0,2000,-13.5,0.0,0.0,0.0,4,0,1,1
116,20171205,20,-3.5,46,0.0,2000,-13.4,0.0,0.0,0.0,4,0,1,1
117,20171205,21,-3.7,47,0.0,2000,-13.3,0.0,0.0,0.0,4,0,1,1
118,20171205,22,-2.8,49,0.0,2000,-12.0,0.0,0.0,0.0,4,0,1,1
119,20171205,23,-2.5,59,0.0,1210,-9.4,0.0,0.0,0.0,4,0,1,1
120,20171206,0,-2.8,77,0.0,331,-6.2,0.0,0.1,0.1,4,0,1,1
121,20171206,1,-3.0,79,0.0,293,-6.1,0.0,0.0,0.3,4,0,1,1
122,20171206,2,-3.0,79,0.0,1862,-6.1,0.0,0.0,0.4,4,0,1,1
123,20171206,3,-3.2,78,0.0,1808,-6.4,0.0,0.2,0.4,4,0,1,1
124,20171206,4,-3.4,75,0.0,1982,-7.2,0.0,0.0,0.4,4,0,1,1
125,20171206,5,-3.6,76,0.0,1934,-7.2,0.0,0.0,0.4,4,0,1,1
126,20171206,6,-3.7,76,0.0,1864,-7.3,0.0,0.0,0.4,4,0,1,1
127,20171206,7,-4.2,77,0.0,1741,-7.6,0.0,0.0,0.3,4,0,1,1
128,20171206,8,-4.2,78,0.0,1518,-7.4,0.01,0.0,0.2,4,0,1,2
129,20171206,9,-3.3,70,0.0,1324,-7.9,0.25,0.0,0.2,4,0,1,1
130,20171206,10,-0.9,64,0.0,1224,-6.8,0.63,0.0,0.2,4,0,1,1
131,20171206,11,1.6,57,1.2,1261,-6.0,0.93,0.0,0.0,4,0,1,1
132,20171206,12,2.4,52,0.9,1224,-6.4,1.08,0.0,0.0,4,0,1,1
133,20171206,13,4.2,47,1.1,1469,-6.1,1.1,0.0,0.0,4,0,1,1
134,20171206,14,5.5,34,1.0,1966,-9.1,0.96,0.0,0.0,4,0,1,1
135,20171206,15,5.5,31,3.1,1968,-10.3,0.72,0.0,0.0,4,0,1,1
136,20171206,16,5.3,37,2.9,2000,-8.2,0.36,0.0,0.0,4,0,1,1
137,20171206,17,4.1,60,2.5,1565,-2.9,0.1,0.0,0.0,4,0,1,1
138,20171206,18,1.7,90,1.0,66,0.2,0.0,0.3,0.3,4,0,1,1
139,20171206,19,1.2,92,0.7,180,0.0,0.0,0.0,1.0,4,0,1,1
140,20171206,20,1.2,94,0.6,228,0.3,0.0,0.0,1.0,4,0,1,1
141,20171206,21,1.1,92,0.5,235,0.0,0.0,0.7,1.0,4,0,1,1
142,20171206,22,1.3,92,0.6,233,0.1,0.0,0.0,1.0,4,0,1,1
143,20171206,23,1.3,92,0.6,209,0.1,0.0,0.0,1.0,4,0,1,1
144,20171207,0,1.4,92,0.5,240,0.2,0.0,0.0,0.9,4,0,1,1
145,20171207,1,1.5,92,0.4,227,0.3,0.0,0.0,0.9,4,0,1,1
146,20171207,2,1.4,92,0.7,168,0.2,0.0,0.0,0.9,4,0,1,1
147,20171207,3,1.9,91,1.4,218,0.5,0.0,0.0,0.9,4,0,1,1
148,20171207,4,1.6,92,0.7,119,0.4,0.0,0.0,0.9,4,0,1,1
149,20171207,5,1.5,92,1.1,175,0.3,0.0,0.0,0.9,4,0,1,1
150,20171207,6,1.0,93,0.5,148,0.0,0.0,0.0,0.9,4,0,1,1
151,20171207,7,0.3,93,0.5,173,-0.7,0.0,0.0,0.9,4,0,1,1
152,20171207,8,-0.2,96,0.8,173,-0.7,0.01,0.0,0.8,4,0,1,2
153,20171207,9,0.1,91,0.8,265,-1.1,0.14,0.0,0.8,4,0,1,1
154,20171207,10,1.1,83,0.7,311,-1.4,0.41,0.0,0.7,4,0,1,1
155,20171207,11,2.3,69,1.7,628,-2.8,0.63,0.0,0.6,4,0,1,1
156,20171207,12,3.7,65,2.4,833,-2.2,0.98,0.0,0.3,4,0,1,1
157,20171207,13,4.1,37,3.1,1767,-9.3,1.14,0.0,0.0,4,0,1,1
158,20171207,14,4.4,36,2.7,1975,-9.4,1.04,0.0,0.0,4,0,1,1
159,20171207,15,4.0,35,3.1,1962,-10.1,0.84,0.0,0.0,4,0,1,1
160,20171207,16,3.2,38,2.9,1817,-9.7,0.51,0.0,0.0,4,0,1,1
161,20171207,17,2.1,50,2.0,1434,-7.2,0.15,0.0,0.0,4,0,1,1
162,20171207,18,0.7,46,2.7,1558,-9.6,0.0,0.0,0.0,4,0,1,2
163,20171207,19,-0.4,47,2.5,1269,-10.3,0.0,0.0,0.0,4,0,1,1
164,20171207,20,-1.4,47,2.5,1620,-11.2,0.0,0.0,0.0,4,0,1,1
165,20171207,21,-2.2,46,2.2,1975,-12.2,0.0,0.0,0.0,4,0,1,1
166,20171207,22,-2.7,48,2.6,1844,-12.2,0.0,0.0,0.0,4,0,1,1
167,20171207,23,-3.2,50,2.1,1887,-12.1,0.0,0.0,0.0,4,0,1,1
168,20171208,0,-3.5,49,2.6,1893,-12.6,0.0,0.0,0.0,4,0,1,1
169,20171208,1,-3.7,50,2.5,1902,-12.6,0.0,0.0,0.0,4,0,1,1
170,20171208,2,-4.3,53,1.0,1918,-12.4,0.0,0.0,0.0,4,0,1,1
171,20171208,3,-4.8,52,1.6,1978,-13.1,0.0,0.0,0.0,4,0,1,1
172,20171208,4,-5.3,53,2.4,1936,-13.4,0.0,0.0,0.0,4,0,1,1
173,20171208,5,-5.8,56,2.0,1941,-13.1,0.0,0.0,0.0,4,0,1,1
174,20171208,6,-6.0,56,3.5,1853,-13.3,0.0,0.0,0.0,4,0,1,1
175,20171208,7,-6.5,57,0.8,1776,-13.6,0.0,0.0,0.0,4,0,1,1
176,20171208,8,-7.0,59,0.8,1559,-13.6,0.01,0.0,0.0,4,0,1,2
177,20171208,9,-6.7,50,0.9,1492,-15.4,0.23,0.0,0.0,4,0,1,1
178,20171208,10,-5.3,44,2.8,1516,-15.6,0.63,0.0,0.0,4,0,1,1
179,20171208,11,-3.7,39,1.4,1595,-15.6,0.93,0.0,0.0,4,0,1,1
180,20171208,12,-2.0,30,1.4,1728,-17.3,1.14,0.0,0.0,4,0,1,1
181,20171208,13,-1.7,28,1.8,1963,-17.8,1.22,0.0,0.0,4,0,1,1
182,20171208,14,-1.3,27,3.1,1906,-17.9,1.12,0.0,0.0,4,0,1,1
183,20171208,15,-0.8,26,3.3,1977,-17.9,0.87,0.0,0.0,4,0,1,1
184,20171208,16,-1.1,24,3.4,2000,-19.1,0.56,0.0,0.0,4,0,1,1
185,20171208,17,-2.4,30,2.7,2000,-17.6,0.18,0.0,0.0,4,0,1,1
186,20171208,18,-3.1,33,1.2,2000,-17.1,0.0,0.0,0.0,4,0,1,2
187,20171208,19,-3.3,35,1.1,2000,-16.6,0.0,0.0,0.0,4,0,1,1
188,20171208,20,-3.3,34,1.5,2000,-16.9,0.0,0.0,0.0,4,0,1,1
189,20171208,21,-3.3,35,0.5,2000,-16.6,0.0,0.0,0.0,4,0,1,1
190,20171208,22,-3.4,39,1.2,2000,-15.4,0.0,0.0,0.0,4,0,1,1
191,20171208,23,-3.5,43,0.9,2000,-14.3,0.0,0.0,0.0,4,0,1,1
192,20171209,0,-3.5,48,0.9,1967,-12.9,0.0,0.0,0.0,4,0,1,1
193,20171209,1,-4.1,49,0.6,2000,-13.2,0.0,0.0,0.0,4,0,1,1
194,20171209,2,-4.7,50,0.7,1983,-13.5,0.0,0.0,0.0,4,0,1,1
195,20171209,3,-4.3,47,0.6,1992,-13.9,0.0,0.0,0.0,4,0,1,1
196,20171209,4,-4.3,49,0.7,2000,-13.4,0.0,0.0,0.0,4,0,1,1
197,20171209,5,-4.7,49,0.8,1999,-13.8,0.0,0.0,0.0,4,0,1,1
198,20171209,6,-5.1,53,0.9,1975,-13.2,0.0,0.0,0.0,4,0,1,1
199,20171209,7,-5.5,56,0.8,1950,-12.9,0.0,0.0,0.0,4,0,1,1
200,20171209,8,-5.4,56,0.7,1940,-12.8,0.01,0.0,0.0,4,0,1,1
201,20171209,9,-4.7,48,1.0,1784,-14.0,0.23,0.0,0.0,4,0,1,1
202,20171209,10,-2.2,42,1.3,1646,-13.4,0.61,0.0,0.0,4,0,1,1
203,20171209,11,0.0,45,1.1,1500,-10.5,0.89,0.0,0.0,4,0,1,1
204,20171209,12,2.4,40,0.8,1809,-9.8,1.05,0.0,0.0,4,0,1,1
205,20171209,13,3.9,36,2.0,1702,-9.8,1.13,0.0,0.0,4,0,1,1
206,20171209,14,4.7,32,2.2,1948,-10.6,1.06,0.0,0.0,4,0,1,1
207,20171209,15,5.2,30,2.0,1963,-11.0,0.84,0.0,0.0,4,0,1,1
208,20171209,16,4.4,33,1.6,1963,-10.5,0.4,0.0,0.0,4,0,1,1
209,20171209,17,3.5,37,1.8,1963,-9.8,0.1,0.0,0.0,4,0,1,1
210,20171209,18,2.5,41,1.0,1974,-9.4,0.0,0.0,0.0,4,0,1,1
211,20171209,19,1.5,48,0.4,1878,-8.3,0.0,0.0,0.0,4,0,1,1
212,20171209,20,0.8,51,1.4,1848,-8.2,0.0,0.0,0.0,4,0,1,1
213,20171209,21,-0.1,55,0.7,1654,-8.0,0.0,0.0,0.0,4,0,1,1
214,20171209,22,-0.5,55,0.6,1655,-8.4,0.0,0.0,0.0,4,0,1,1
215,20171209,23,-0.1,54,1.3,1570,-8.3,0.0,0.0,0.0,4,0,1,1
216,20171210,0,-0.2,55,1.0,1629,-8.1,0.0,0.0,0.0,4,0,1,1
217,20171210,1,-0.2,54,0.5,1747,-8.4,0.0,0.0,0.0,4,0,1,1
218,20171210,2,0.2,52,0.7,1726,-8.5,0.0,0.0,0.0,4,0,1,1
219,20171210,3,0.3,53,0.5,1748,-8.1,0.0,0.0,0.0,4,0,1,1
220,20171210,4,0.4,52,1.6,1816,-8.3,0.0,0.0,0.0,4,0,1,1
221,20171210,5,0.3,74,1.0,178,-3.7,0.0,0.0,0.7,4,0,1,1
222,20171210,6,-0.5,90,0.9,91,-1.9,0.0,2.5,2.7,4,0,1,1
223,20171210,7,-0.4,92,1.1,121,-1.5,0.0,0.0,4.0,4,0,1,1
224,20171210,8,-0.2,90,1.2,378,-1.6,0.0,0.0,4.1,4,0,1,1
225,20171210,9,0.2,90,1.0,305,-1.2,0.0,1.6,4.3,4,0,1,1
226,20171210,10,0.5,91,0.4,143,-0.8,0.0,0.0,4.3,4,0,1,1
227,20171210,11,0.9,92,0.9,137,-0.2,0.03,0.0,3.9,4,0,1,1
228,20171210,12,2.3,88,0.3,245,0.5,0.28,0.0,3.1,4,0,1,1
229,20171210,13,3.3,87,1.1,230,1.3,0.54,0.0,2.1,4,0,1,1
230,20171210,14,4.2,85,0.7,325,1.8,0.65,0.0,1.4,4,0,1,1
231,20171210,15,6.7,63,4.5,715,0.1,0.35,0.0,1.0,4,0,1,1
232,20171210,16,5.4,71,3.5,622,0.5,0.2,0.0,0.5,4,0,1,1
233,20171210,17,3.6,65,4.3,1061,-2.3,0.03,0.0,0.4,4,0,1,1
234,20171210,18,2.0,61,3.0,2000,-4.7,0.0,0.0,0.0,4,0,1,1
235,20171210,19,1.6,53,4.0,2000,-6.9,0.0,0.0,0.0,4,0,1,1
236,20171210,20,0.6,57,3.9,1954,-6.9,0.0,0.0,0.0,4,0,1,1
237,20171210,21,0.0,59,3.0,1862,-7.0,0.0,0.0,0.0,4,0,1,1
238,20171210,22,-1.0,56,4.7,2000,-8.6,0.0,0.0,0.0,4,0,1,1
239,20171210,23,-1.4,43,4.3,2000,-12.3,0.0,0.0,0.0,4,0,1,1
240,20171211,0,-2.5,39,3.4,2000,-14.5,0.0,0.0,0.0,4,0,1,1
241,20171211,1,-3.4,36,3.8,2000,-16.3,0.0,0.0,0.0,4,0,1,1
242,20171211,2,-4.2,35,3.4,2000,-17.4,0.0,0.0,0.0,4,0,1,1
243,20171211,3,-4.7,38,2.4,2000,-16.8,0.0,0.0,0.0,4,0,1,1
244,20171211,4,-5.2,35,3.2,2000,-18.3,0.0,0.0,0.0,4,0,1,1
245,20171211,5,-5.6,38,3.2,1974,-17.6,0.0,0.0,0.0,4,0,1,1
246,20171211,6,-5.9,39,2.9,1979,-17.6,0.0,0.0,0.0,4,0,1,1
247,20171211,7,-6.0,39,3.1,1996,-17.7,0.0,0.0,0.0,4,0,1,1
248,20171211,8,-6.0,38,3.6,1994,-18.0,0.01,0.0,0.0,4,0,1,1
249,20171211,9,-5.9,36,5.1,1941,-18.6,0.1,0.0,0.0,4,0,1,1
250,20171211,10,-5.3,32,4.5,2000,-19.4,0.62,0.0,0.0,4,0,1,1
251,20171211,11,-4.7,36,3.8,2000,-17.5,1.0,0.0,0.0,4,0,1,1
252,20171211,12,-5.2,33,4.6,1973,-19.0,1.26,0.0,0.0,4,0,1,1
253,20171211,13,-5.4,32,5.1,1986,-19.5,1.24,0.0,0.0,4,0,1,1
254,20171211,14,-5.4,31,4.1,1945,-19.9,1.13,0.0,0.0,4,0,1,1
255,20171211,15,-5.5,33,4.5,2000,-19.2,0.92,0.0,0.0,4,0,1,1
256,20171211,16,-6.0,40,4.0,2000,-17.4,0.55,0.0,0.0,4,0,1,1
257,20171211,17,-7.1,44,4.2,2000,-17.3,0.18,0.0,0.0,4,0,1,1
258,20171211,18,-7.9,43,3.3,2000,-18.3,0.0,0.0,0.0,4,0,1,1
259,20171211,19,-8.6,45,3.9,2000,-18.4,0.0,0.0,0.0,4,0,1,1
260,20171211,20,-9.3,49,3.8,2000,-18.0,0.0,0.0,0.0,4,0,1,1
261,20171211,21,-9.7,51,2.5,2000,-17.9,0.0,0.0,0.0,4,0,1,1
262,20171211,22,-10.2,50,3.0,2000,-18.6,0.0,0.0,0.0,4,0,1,1
263,20171211,23,-10.7,53,1.2,2000,-18.4,0.0,0.0,0.0,4,0,1,1
264,20171212,0,-11.0,51,1.1,2000,-19.1,0.0,0.0,0.0,4,0,1,1
265,20171212,1,-11.2,51,1.1,2000,-19.3,0.0,0.0,0.0,4,0,1,1
266,20171212,2,-11.5,50,0.7,2000,-19.8,0.0,0.0,0.0,4,0,1,1
267,20171212,3,-11.6,50,2.2,1995,-19.9,0.0,0.0,0.0,4,0,1,1
268,20171212,4,-11.6,47,2.1,1982,-20.6,0.0,0.0,0.0,4,0,1,1
269,20171212,5,-11.6,45,2.8,1951,-21.1,0.0,0.0,0.0,4,0,1,1
270,20171212,6,-11.8,47,2.5,1973,-20.8,0.0,0.0,0.0,4,0,1,1
271,20171212,7,-12.1,50,2.3,1929,-20.4,0.0,0.0,0.0,4,0,1,1
272,20171212,8,-12.3,52,1.3,1914,-20.1,0.0,0.0,0.0,4,0,1,1
273,20171212,9,-11.8,46,2.9,1956,-21.1,0.1,0.0,0.0,4,0,1,1
274,20171212,10,-10.5,45,3.3,1855,-20.1,0.6,0.0,0.0,4,0,1,1
275,20171212,11,-9.4,42,3.1,1815,-19.9,0.93,0.0,0.0,4,0,1,1
276,20171212,12,-8.3,35,2.9,1967,-21.0,1.14,0.0,0.0,4,0,1,1
277,20171212,13,-6.9,37,2.4,1955,-19.1,1.22,0.0,0.0,4,0,1,1
278,20171212,14,-5.4,32,2.0,1930,-19.5,1.12,0.0,0.0,4,0,1,1
279,20171212,15,-5.8,30,2.8,2000,-20.6,0.92,0.0,0.0,4,0,1,1
280,20171212,16,-6.0,29,2.8,1983,-21.2,0.58,0.0,0.0,4,0,1,1
281,20171212,17,-7.0,32,2.6,2000,-20.9,0.19,0.0,0.0,4,0,1,1
282,20171212,18,-7.7,36,1.0,2000,-20.2,0.0,0.0,0.0,4,0,1,1
283,20171212,19,-8.2,43,1.1,2000,-18.5,0.0,0.0,0.0,4,0,1,1
284,20171212,20,-8.4,42,1.0,2000,-19.0,0.0,0.0,0.0,4,0,1,1
285,20171212,21,-8.8,43,1.4,1999,-19.1,0.0,0.0,0.0,4,0,1,1
286,20171212,22,-9.0,45,1.3,1999,-18.7,0.0,0.0,0.0,4,0,1,1
287,20171212,23,-9.3,47,2.1,2000,-18.5,0.0,0.0,0.0,4,0,1,1
288,20171213,0,-9.5,48,1.3,1996,-18.4,0.0,0.0,0.0,4,0,1,1
289,20171213,1,-10.2,52,1.6,1997,-18.2,0.0,0.0,0.0,4,0,1,1
290,20171213,2,-10.4,53,1.8,1949,-18.1,0.0,0.0,0.0,4,0,1,1
291,20171213,3,-10.9,55,1.8,1913,-18.1,0.0,0.0,0.0,4,0,1,1
292,20171213,4,-11.4,58,1.3,1907,-18.0,0.0,0.0,0.0,4,0,1,1
293,20171213,5,-11.5,58,1.1,1923,-18.1,0.0,0.0,0.0,4,0,1,1
294,20171213,6,-11.9,57,1.1,1974,-18.7,0.0,0.0,0.0,4,0,1,1
295,20171213,7,-11.7,53,1.6,1998,-19.3,0.0,0.0,0.0,4,0,1,1
296,20171213,8,-11.4,47,3.3,2000,-20.4,0.0,0.0,0.0,4,0,1,1
297,20171213,9,-11.1,46,3.4,1981,-20.4,0.1,0.0,0.0,4,0,1,1
